time,debit,occupation,etat_barre
2014-01-01 01:00:00,4.0,0.0,3.0
2014-01-01 02:00:00,21.0,0.10445,3.0
2014-01-01 03:00:00,417.0,6.12667,3.0
2014-01-01 04:00:00,1089.0,14.3989,3.0
2014-01-01 05:00:00,943.0,10.3522,3.0
2014-01-01 06:00:00,996.0,8.16,3.0
2014-01-01 07:00:00,989.0,6.83945,3.0
2014-01-01 08:00:00,610.0,3.48334,3.0
2014-01-01 09:00:00,445.0,2.17222,3.0
2014-01-01 10:00:00,575.0,4.28667,3.0
2014-01-01 11:00:00,790.0,11.5206,3.0
2014-01-01 12:00:00,322.0,1.73444,3.0
2014-01-01 13:00:00,1135.0,5.875,3.0
2014-01-01 14:00:00,1376.0,7.04834,3.0
2014-01-01 15:00:00,1614.0,9.24167,3.0
2014-01-01 16:00:00,1880.0,11.1378,3.0
2014-01-01 17:00:00,1989.0,16.6489,3.0
2014-01-01 18:00:00,1767.0,15.9028,3.0
2014-01-01 19:00:00,1407.0,34.1533,3.0
2014-01-01 20:00:00,1687.0,18.7356,3.0
2014-01-01 21:00:00,1543.0,10.7439,3.0
2014-01-01 22:00:00,1453.0,9.50389,3.0
2014-01-01 23:00:00,1332.0,9.20945,3.0
2014-01-02 00:00:00,1081.0,7.48,3.0
2014-01-02 01:00:00,800.0,4.77834,3.0
2014-01-02 02:00:00,491.0,3.11667,3.0
2014-01-02 03:00:00,345.0,2.21945,3.0
2014-01-02 04:00:00,194.0,1.22889,3.0
2014-01-02 05:00:00,161.0,1.36944,3.0
2014-01-02 06:00:00,343.0,2.025,3.0
2014-01-02 07:00:00,736.0,4.55389,3.0
2014-01-02 08:00:00,1154.0,5.39334,3.0
2014-01-02 09:00:00,1484.5,7.25445,3.0
2014-01-02 10:00:00,1815.0,9.11556,3.0
2014-01-02 11:00:00,1844.0,9.26167,3.0
2014-01-02 12:00:00,2001.0,9.46611,3.0
2014-01-02 13:00:00,2084.0,10.2733,3.0
2014-01-02 14:00:00,1903.0,11.6767,3.0
2014-01-02 15:00:00,2010.0,12.625,3.0
2014-01-02 16:00:00,2089.0,16.0511,3.0
2014-01-02 17:00:00,1939.0,15.4733,3.0
2014-01-02 18:00:00,1844.0,16.055,3.0
2014-01-02 19:00:00,2041.0,11.8183,3.0
2014-01-02 20:00:00,1952.0,11.5406,3.0
2014-01-02 21:00:00,1690.0,12.4711,3.0
2014-01-02 22:00:00,1699.0,12.775,3.0
2014-01-02 23:00:00,1491.0,9.66834,3.0
2014-01-03 00:00:00,1402.0,9.52833,3.0
2014-01-03 01:00:00,1112.0,6.89278,3.0
2014-01-03 02:00:00,797.0,5.36611,3.0
2014-01-03 03:00:00,564.0,3.26556,3.0
2014-01-03 04:00:00,382.0,8.57278,3.0
2014-01-03 05:00:00,296.0,1.77278,3.0
2014-01-03 06:00:00,442.0,3.88778,3.0
2014-01-03 07:00:00,792.0,3.83667,3.0
2014-01-03 08:00:00,1304.0,5.94611,3.0
2014-01-03 09:00:00,1742.0,7.92389,3.0
2014-01-03 10:00:00,1946.0,8.29556,3.0
2014-01-03 11:00:00,1990.0,10.0711,3.0
2014-01-03 12:00:00,2005.0,10.8039,3.0
2014-01-03 13:00:00,2086.0,9.64278,3.0
2014-01-03 14:00:00,1910.0,9.74889,3.0
2014-01-03 15:00:00,2182.0,12.1339,3.0
2014-01-03 16:00:00,2210.0,12.5622,3.0
2014-01-03 17:00:00,2086.0,11.6628,3.0
2014-01-03 18:00:00,1981.0,13.2989,3.0
2014-01-03 19:00:00,1846.0,13.8267,3.0
2014-01-03 20:00:00,2013.0,11.9889,3.0
2014-01-03 21:00:00,1818.0,13.6628,3.0
2014-01-03 22:00:00,1722.0,10.4878,3.0
2014-01-03 23:00:00,1647.0,10.3911,3.0
2014-01-04 00:00:00,1602.0,12.4506,3.0
2014-01-04 01:00:00,1387.0,9.04333,3.0
2014-01-04 02:00:00,1161.0,6.29667,3.0
2014-01-04 03:00:00,888.0,4.77223,3.0
2014-01-04 04:00:00,661.0,3.85167,3.0
2014-01-04 05:00:00,539.0,3.31056,3.0
2014-01-04 06:00:00,481.0,5.22389,3.0
2014-01-04 07:00:00,531.0,5.81222,3.0
2014-01-04 08:00:00,566.0,3.40722,3.0
2014-01-04 09:00:00,751.0,3.29555,3.0
2014-01-04 10:00:00,1098.0,5.3,3.0
2014-01-04 11:00:00,1446.0,6.685,3.0
2014-01-04 12:00:00,1631.0,7.48,3.0
2014-01-04 13:00:00,1794.0,8.63556,3.0
2014-01-04 14:00:00,1752.0,7.97667,3.0
2014-01-04 15:00:00,2003.0,8.84778,3.0
2014-01-04 16:00:00,2232.0,12.7233,3.0
2014-01-04 17:00:00,2116.0,15.2756,3.0
2014-01-04 18:00:00,1909.0,11.8589,3.0
2014-01-04 19:00:00,1932.0,11.81,3.0
2014-01-04 20:00:00,1976.0,13.4467,3.0
2014-01-04 21:00:00,1987.0,13.7717,3.0
2014-01-04 22:00:00,1923.0,14.155,3.0
2014-01-04 23:00:00,1852.0,13.14,3.0
2014-01-05 00:00:00,1734.0,14.6622,3.0
2014-01-05 01:00:00,1803.0,12.5044,3.0
2014-01-05 02:00:00,1481.0,13.1133,3.0
2014-01-05 03:00:00,1256.0,7.72333,3.0
2014-01-05 04:00:00,911.0,4.78444,3.0
2014-01-05 05:00:00,710.0,4.72722,3.0
2014-01-05 06:00:00,623.0,4.75,3.0
2014-01-05 07:00:00,534.0,7.82333,3.0
2014-01-05 08:00:00,455.0,2.28445,3.0
2014-01-05 09:00:00,526.0,2.45,3.0
2014-01-05 10:00:00,807.0,3.50056,3.0
2014-01-05 11:00:00,1122.0,5.37667,3.0
